"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
451.5,247.5,126452,4,5154,3961,3,37,20,65,14,438,6272,60,80.8209255654029,"SK394AZone4b",4
451.5,248.5,125952,4,5114,3790,5,42,16,34,10,554,6610,45,77.3563707927186,"SK394AZone4b",4
451.5,249.5,125452,4,5143,3726,3,44,17,59,4,544,6514,49,76.0596953222402,"SK394AZone4b",4
451.5,251.5,124452,4,5049,3891,4,42,23,52,15,495,6308,47,79.4026867695672,"SK394AZone4b",4
451.5,252.5,123952,4,5195,3976,9,36,16,44,11,438,6389,41,81.1248338787963,"SK394AZone4a",3
451.5,253.5,123452,4,5134,3970,3,38,17,35,5,501,6326,46,81.0032705534389,"SK394AZone4a",3
451.5,254.5,122952,4,5174,4026,6,40,13,47,9,477,6423,49,82.1378615901075,"SK394AZone4a",3
451.5,256.5,121952,4,5101,3930,1,34,25,36,5,523,6429,49,80.19284838439,"SK394AZone4a",3
451.5,257.5,121452,4,5238,4042,5,55,21,38,7,469,6480,46,82.4620304577271,"SK394AZone4a",3
452.5,183.5,158453,4,4929,3639,6,35,20,49,5,655,6726,39,74.2970271045587,"SK394AZone2a",3
452.5,184.5,157953,4,5087,4005,7,41,18,36,6,447,6352,46,81.7123899513568,"SK394AZone2a",3
452.5,185.5,157453,4,5233,3958,3,36,21,46,7,458,6369,47,80.7601439027242,"SK394AZone2a",3
452.5,186.5,156953,4,5265,3923,7,39,20,44,8,434,6373,49,80.0510245048064,"SK394AZone2a",3
452.5,187.5,156453,4,5231,3916,3,40,23,40,3,492,6390,47,79.9092006252228,"SK394AZone2a",3
452.5,188.5,155953,4,5135,3861,7,35,16,41,8,469,6495,49,78.7948701427805,"SK394AZone2a",3
452.5,189.5,155453,4,5091,3999,6,45,19,55,7,456,6345,42,81.5908266259994,"SK394AZone2a",3
452.5,190.5,154953,4,5152,3811,3,52,23,62,11,537,6574,47,77.7818424314693,"SK394AZone2a",3
452.5,191.5,154453,4,4862,3413,2,51,27,50,4,752,6929,53,69.718141849432,"SK394AZone2a",3
452.5,192.5,153953,4,4967,3868,11,48,23,45,6,595,6400,48,78.936694022364,"SK394AZone2b",2
452.5,193.5,153453,4,5301,4086,5,40,11,41,7,379,6239,52,83.353494843681,"SK394AZone2a",3
452.5,194.5,152953,4,5405,4258,7,45,21,44,10,268,6283,38,86.8383101705916,"SK394AZone2b",2
452.5,195.5,152453,4,5298,4172,1,49,15,44,10,323,6164,54,85.0959025071363,"SK394AZone2a",3
452.5,196.5,151953,4,5352,4248,6,41,17,37,5,281,6175,70,86.6357046283293,"SK394AZone2a",3
452.5,197.5,151453,4,5297,4374,5,36,13,39,13,296,6058,53,89.1885344608336,"SK394AZone2b",2
452.5,198.5,150953,4,5243,4247,2,41,17,45,5,322,6125,49,86.6154440741031,"SK394AZone2a",3
452.5,199.5,150453,4,5255,4236,3,40,17,29,10,255,6206,50,86.3925779776146,"SK394AZone2a",3
452.5,200.5,149953,4,5408,4419,6,46,10,37,4,281,6238,44,90.1002594010137,"SK394AZone2b",2
452.5,201.5,149453,4,5278,3700,2,50,18,41,6,511,6637,47,75.5329209123583,"SK394AZone2a",3
452.5,202.5,148953,4,5133,4006,6,41,24,36,7,493,6463,54,81.732650505583,"SK394AZone2a",3
452.5,203.5,148453,4,5179,4002,5,33,20,48,8,500,6433,32,81.6516082886781,"SK394AZone2a",3
452.5,205.5,147453,4,5208,4053,4,43,12,48,7,442,6361,58,82.6848965542156,"SK394AZone2a",3
452.5,206.5,146953,4,5114,3919,3,49,23,38,10,458,6386,57,79.9699822879015,"SK394AZone2a",3
452.5,207.5,146453,4,5155,3935,7,30,24,40,12,488,6408,47,80.2941511555211,"SK394AZone2a",3
452.5,208.5,145953,4,5211,4058,6,41,24,33,7,474,6458,37,82.7861993253467,"SK394AZone2a",3
452.5,209.5,145453,4,5248,3980,6,43,23,48,8,545,6388,53,81.2058760957012,"SK394AZone2a",3
452.5,247.5,126453,4,5048,3916,7,49,18,58,11,424,6358,57,79.9092006252228,"SK394AZone4b",4
452.5,248.5,125953,4,5087,3913,10,40,21,44,9,523,6710,53,79.8484189625441,"SK394AZone4b",4
452.5,249.5,125453,4,5052,3878,7,44,26,52,4,594,6545,46,79.1392995646263,"SK394AZone4b",4
452.5,250.5,124953,4,4950,3816,4,30,21,63,7,485,6386,67,77.8831452026004,"SK394AZone4b",4
452.5,251.5,124453,4,4988,3684,8,47,13,60,9,556,6360,51,75.2087520447388,"SK394AZone4b",4
452.5,252.5,123953,4,5145,3927,4,26,22,50,7,532,6410,49,80.1320667217113,"SK394AZone4a",3
452.5,253.5,123453,4,5056,3882,3,51,24,44,4,520,6248,36,79.2203417815312,"SK394AZone4a",3
452.5,254.5,122953,4,5224,3939,5,40,19,43,6,471,6405,53,80.375193372426,"SK394AZone4a",3
452.5,255.5,122453,4,5173,3859,1,44,16,51,8,505,6428,35,78.754349034328,"SK394AZone4a",3
452.5,256.5,121953,4,5131,3908,3,30,21,48,5,515,6457,45,79.747116191413,"SK394AZone4a",3
452.5,257.5,121453,4,5289,3958,4,47,17,45,10,426,6192,38,80.7601439027242,"SK394AZone4a",3
453.5,183.5,158454,4,5149,4057,5,38,28,44,7,443,6237,50,82.7659387711205,"SK394AZone2a",3
453.5,184.5,157954,4,5017,3943,6,49,12,46,7,431,6491,46,80.4562355893309,"SK394AZone2a",3
453.5,185.5,157454,4,5164,3941,6,44,18,42,6,422,6471,39,80.4157144808784,"SK394AZone2a",3
453.5,186.5,156954,4,5356,3931,5,26,14,62,13,471,6513,37,80.2131089386162,"SK394AZone2a",3
453.5,187.5,156454,4,5155,3970,4,46,27,38,6,510,6208,43,81.0032705534389,"SK394AZone2a",3
453.5,188.5,155954,4,5182,4084,2,39,23,49,4,467,6438,44,83.3129737352285,"SK394AZone2a",3
453.5,189.5,155454,4,5114,3849,6,40,21,38,6,473,6451,42,78.5517434920658,"SK394AZone2a",3
453.5,190.5,154954,4,5004,3547,5,54,21,53,7,714,6723,42,72.433056115746,"SK394AZone2a",3
453.5,192.5,153954,4,5166,4104,7,42,23,52,5,451,6350,44,83.718184819753,"SK394AZone2b",2
453.5,193.5,153454,4,5298,4388,7,38,21,38,8,269,6050,48,89.4721822200007,"SK394AZone2b",2
453.5,194.5,152954,4,5450,4520,4,42,17,44,14,198,6076,50,92.1465753778624,"SK394AZone2b",2
453.5,195.5,152454,4,5495,4503,5,53,25,42,4,123,6017,46,91.8021459560165,"SK394AZone2b",2
453.5,196.5,151954,4,5501,4587,6,47,20,43,8,124,5851,50,93.5040325110194,"SK394AZone2b",2
453.5,197.5,151454,4,5596,4613,9,40,17,56,3,147,5986,55,94.0308069209012,"SK394AZone2b",2
453.5,198.5,150954,4,5614,4476,4,53,14,43,6,152,5995,44,91.2551109919085,"SK394AZone2b",2
453.5,199.5,150454,4,5474,4499,6,47,17,42,8,142,6106,55,91.7211037391116,"SK394AZone2b",2
453.5,201.5,149454,4,5543,4577,5,37,17,57,6,143,5923,40,93.3014269687571,"SK394AZone2b",2
453.5,202.5,148954,4,5106,3980,5,35,21,46,11,478,6470,44,81.2058760957012,"SK394AZone2a",3
453.5,203.5,148454,4,5038,3859,5,54,13,61,5,515,6419,53,78.754349034328,"SK394AZone2a",3
453.5,204.5,147954,4,5249,4022,3,27,20,39,5,454,6403,47,82.0568193732026,"SK394AZone2a",3
453.5,205.5,147454,4,5127,3733,2,33,14,53,6,456,6278,40,76.2015192018238,"SK394AZone2a",3
453.5,206.5,146954,4,5123,4008,7,43,19,43,6,474,6403,49,81.7731716140355,"SK394AZone2a",3
453.5,207.5,146454,4,5133,3924,6,40,20,45,6,427,6376,42,80.0712850590326,"SK394AZone2a",3
453.5,208.5,145954,4,5247,4097,9,41,16,36,5,420,6513,31,83.5763609401694,"SK394AZone2a",3
453.5,209.5,145454,4,5054,3892,6,40,14,41,10,474,6330,58,79.4229473237934,"SK394AZone2a",3
453.5,210.5,144954,4,5051,4015,7,53,17,31,8,472,6431,49,81.914995493619,"SK394AZone2a",3
453.5,248.5,125954,4,5073,3772,5,55,27,48,8,563,6559,47,76.9916808166465,"SK394AZone4b",4
453.5,249.5,125454,4,5089,3936,8,38,25,55,6,537,6681,51,80.3144117097473,"SK394AZone4b",4
453.5,250.5,124954,4,4918,3898,8,36,28,54,4,526,6489,42,79.5445106491508,"SK394AZone4b",4
453.5,251.5,124454,4,4764,3620,4,41,27,71,3,614,6317,54,73.9120765742604,"SK394AZone4b",4
453.5,252.5,123954,4,5158,3887,1,37,21,53,8,509,6505,49,79.3216445526623,"SK394AZone4a",3
453.5,253.5,123454,4,5068,3747,2,39,15,50,4,559,6486,38,76.4851669609909,"SK394AZone4a",3
453.5,254.5,122954,4,5102,3966,5,51,24,55,11,496,6310,46,80.922228336534,"SK394AZone4a",3
453.5,255.5,122454,4,5133,3851,2,47,21,32,9,523,6350,44,78.5922646005182,"SK394AZone4a",3
453.5,256.5,121954,4,5169,3984,8,40,25,33,9,446,6366,47,81.2869183126061,"SK394AZone4a",3
454.5,182.5,158955,4,4976,3739,4,52,31,67,5,605,6641,45,76.3230825271811,"SK394AZone2a",3
454.5,183.5,158455,4,5226,3903,5,43,20,46,9,457,6324,44,79.6458134202819,"SK394AZone2a",3
454.5,184.5,157955,4,5111,4068,9,48,18,33,7,475,6533,46,82.9888048676089,"SK394AZone2a",3
454.5,185.5,157455,4,5097,3951,5,39,27,38,6,488,6467,41,80.6183200231407,"SK394AZone2a",3
