"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"42646",145.5,79.5,5094,6009,15,61,40,25,3,50,5439,16,93
"42647",146.5,79.5,4929,6001,9,67,34,21,4,48,5366,10,93
"42648",147.5,79.5,5095,6096,16,69,35,32,4,56,5411,23,94
"42649",148.5,79.5,5030,6148,10,62,40,33,3,49,5438,19,95
"42650",149.5,79.5,5068,5947,12,57,34,33,2,48,5413,17,92
"42651",150.5,79.5,5084,5932,13,70,35,36,2,60,5428,20,92
"42652",151.5,79.5,5166,5957,13,73,35,22,0,57,5405,23,92
"42653",152.5,79.5,5153,5873,18,78,38,39,2,63,5420,19,91
"42654",153.5,79.5,4944,5926,10,93,33,34,4,55,5337,18,92
"42655",154.5,79.5,5030,5906,15,69,34,29,4,47,5574,16,92
"42846",95.5,78.5,4735,5307,5,112,61,28,1,138,5823,24,83
"42847",96.5,78.5,4904,5643,8,92,51,29,1,80,5644,16,88
"42848",97.5,78.5,4957,5792,18,109,42,39,2,88,5615,25,90
"42849",98.5,78.5,4811,5565,19,76,41,31,4,95,5633,29,87
"42850",99.5,78.5,4783,5554,18,85,48,35,1,98,5636,23,86
"42861",110.5,78.5,4965,5921,9,95,32,37,2,78,5540,16,92
"42862",111.5,78.5,4993,6174,15,72,40,30,2,51,5457,21,95
"42863",112.5,78.5,5084,5904,15,88,31,38,4,61,5419,25,91
"42864",113.5,78.5,5089,6058,13,94,31,37,6,48,5289,23,94
"42865",114.5,78.5,5016,5961,8,72,27,31,4,64,5547,18,92
"42866",115.5,78.5,4979,5936,17,63,34,29,1,59,5527,17,92
"42867",116.5,78.5,4988,5796,11,60,24,27,4,89,5591,19,90
"42868",117.5,78.5,5111,5883,8,62,30,36,1,81,5592,20,91
"42869",118.5,78.5,4917,5849,14,89,32,30,5,59,5374,25,91
"42870",119.5,78.5,5035,5984,12,56,28,30,7,66,5198,9,93
"42871",120.5,78.5,5087,6111,14,56,37,24,2,40,5332,20,94
"42872",121.5,78.5,5107,6079,16,55,33,27,2,46,5476,25,94
"42873",122.5,78.5,5131,6189,15,52,41,29,6,44,5321,17,96
"42874",123.5,78.5,5061,6011,10,53,27,52,5,54,5448,20,93
"42875",124.5,78.5,5094,6025,9,61,32,34,4,48,5350,14,93
"42876",125.5,78.5,5037,6034,15,67,35,31,2,75,5555,23,93
"42877",126.5,78.5,5159,6031,24,70,29,30,1,41,5488,18,93
"42878",127.5,78.5,5007,6165,15,47,28,33,3,49,5328,26,95
"42879",128.5,78.5,5074,6200,17,52,26,34,3,54,5487,13,96
"42880",129.5,78.5,5116,6237,19,49,40,31,5,42,5376,17,96
"42881",130.5,78.5,5054,6193,10,53,38,30,4,41,5518,14,96
"42882",131.5,78.5,5170,6126,3,49,34,32,1,42,5394,23,95
"42883",132.5,78.5,4979,6184,14,70,29,35,3,36,5379,13,95
"42884",133.5,78.5,4945,6082,13,68,37,29,1,45,5330,19,94
"42885",134.5,78.5,5037,6029,16,65,34,29,4,48,5369,12,93
"42886",135.5,78.5,4954,6023,17,58,32,35,1,64,5422,16,93
"42887",136.5,78.5,4847,5867,15,81,39,53,4,71,5410,23,91
"42888",137.5,78.5,5114,5882,9,68,36,25,3,50,5516,23,91
"42889",138.5,78.5,5138,6147,12,75,41,36,3,45,5551,15,95
"42891",140.5,78.5,5048,6023,14,56,37,31,4,47,5371,14,93
"42892",141.5,78.5,5085,6207,11,54,43,35,4,36,5435,19,96
"42893",142.5,78.5,4997,5945,8,49,38,39,1,41,5396,20,92
"42894",143.5,78.5,5050,6126,5,54,35,46,1,45,5382,14,95
"42895",144.5,78.5,5092,6138,14,75,46,28,5,42,5337,15,95
"42896",145.5,78.5,5149,6095,11,73,32,28,3,39,5533,12,94
"42897",146.5,78.5,5151,6051,10,62,37,26,1,40,5478,15,94
"42898",147.5,78.5,5094,6161,12,66,40,35,1,55,5513,17,95
"42899",148.5,78.5,5162,5969,14,54,43,28,6,45,5356,15,92
"42900",149.5,78.5,5098,5995,10,67,32,34,0,48,5446,24,93
"42901",150.5,78.5,5126,6101,23,62,31,28,0,46,5426,16,94
"42902",151.5,78.5,5033,5848,13,52,39,40,4,62,5463,20,91
"42903",152.5,78.5,5015,5903,13,51,32,33,2,61,5539,16,91
"42904",153.5,78.5,5012,6043,11,70,26,33,3,51,5388,20,93
"43096",95.5,77.5,4679,5580,17,124,47,46,0,87,5565,25,87
"43097",96.5,77.5,4863,5660,17,87,30,29,3,78,5668,20,88
"43098",97.5,77.5,4859,5505,15,86,37,30,3,135,5751,26,86
"43099",98.5,77.5,4796,5499,6,82,38,41,5,103,5747,17,86
"43100",99.5,77.5,4813,5665,9,76,32,34,2,82,5650,24,88
"43101",100.5,77.5,4858,5717,13,85,27,32,1,83,5600,23,89
"43113",112.5,77.5,4996,5909,7,80,39,35,0,76,5335,22,92
"43114",113.5,77.5,5030,5873,6,67,23,26,3,62,5487,21,91
"43115",114.5,77.5,5053,5987,13,67,41,28,2,65,5422,18,93
"43116",115.5,77.5,4965,5937,15,63,31,23,1,65,5424,12,92
"43117",116.5,77.5,4907,6033,11,68,39,27,3,70,5460,29,93
"43118",117.5,77.5,4896,5802,7,84,34,32,3,64,5470,26,90
"43119",118.5,77.5,4825,5813,11,63,32,29,1,79,5468,19,90
"43120",119.5,77.5,4844,5743,14,77,45,31,2,53,5633,17,89
"43121",120.5,77.5,5004,5800,13,66,31,33,4,61,5469,19,90
"43122",121.5,77.5,5135,6047,10,66,42,30,1,50,5517,19,94
"43123",122.5,77.5,5035,6018,11,67,53,34,2,52,5454,15,93
"43124",123.5,77.5,5144,5952,13,66,38,25,3,59,5492,23,92
"43125",124.5,77.5,4998,5891,15,72,36,30,5,53,5505,15,91
"43126",125.5,77.5,4943,5976,10,59,35,33,2,51,5471,14,93
"43127",126.5,77.5,5152,6183,12,62,32,29,3,49,5398,17,95
