"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"21852",101.5,162.5,4811,5515,10,66,33,32,1,76,5327,15,88
"21853",102.5,162.5,4908,5769,16,58,34,32,4,60,5520,19,92
"21854",103.5,162.5,4939,5864,7,76,44,35,1,63,5407,22,93
"21855",104.5,162.5,5039,5865,15,62,34,31,2,61,5530,20,93
"21856",105.5,162.5,4975,5773,12,75,41,30,1,62,5520,14,92
"21857",106.5,162.5,4916,5776,12,55,35,31,2,65,5430,19,92
"21858",107.5,162.5,5001,5728,9,66,37,26,4,49,5280,16,91
"21859",108.5,162.5,4824,5844,10,73,33,34,2,56,5456,25,93
"21860",109.5,162.5,4890,5808,11,84,25,29,3,53,5452,26,92
"21861",110.5,162.5,5033,5730,9,69,28,35,3,68,5470,13,91
"21862",111.5,162.5,5001,5770,10,70,32,35,2,62,5429,15,92
"21863",112.5,162.5,4981,5757,8,64,42,33,3,68,5499,21,92
"21864",113.5,162.5,5017,5789,5,66,34,35,1,69,5463,13,92
"21865",114.5,162.5,4964,5694,11,90,37,35,7,66,5416,21,91
"21866",115.5,162.5,5080,5807,16,78,39,34,2,65,5500,16,92
"21867",116.5,162.5,4863,5263,13,65,34,31,2,114,5721,17,85
"21868",117.5,162.5,4751,5371,16,69,49,29,4,133,5797,22,86
"21869",118.5,162.5,4975,5578,8,74,35,42,3,99,5669,17,89
"21870",119.5,162.5,4803,5327,7,84,35,35,2,96,5754,16,86
"21871",120.5,162.5,4920,5070,16,73,48,41,5,126,5754,28,82
"22009",8.5,161.5,5004,5817,13,95,43,29,3,57,5543,17,93
"22010",9.5,161.5,4992,5651,18,76,42,30,3,69,5462,24,90
"22011",10.5,161.5,4876,5650,13,64,39,39,1,86,5637,19,90
"22015",14.5,161.5,4700,5519,14,203,58,109,1,70,5609,25,88
"22016",15.5,161.5,4949,5795,12,72,37,40,3,72,5481,22,92
"22017",16.5,161.5,5074,5626,15,68,38,41,3,77,5586,22,90
"22018",17.5,161.5,5062,5491,13,65,32,40,4,41,5493,29,88
"22021",20.5,161.5,4964,5477,14,77,45,35,2,74,5390,11,88
"22022",21.5,161.5,4811,5681,8,84,35,41,3,58,5413,20,91
"22023",22.5,161.5,5070,5850,11,69,39,30,4,61,5458,19,93
"22024",23.5,161.5,4940,5376,11,71,50,30,2,87,5747,19,86
"22096",95.5,161.5,4693,5404,9,97,43,32,4,91,5562,16,87
"22097",96.5,161.5,4925,5341,7,82,45,47,4,143,5814,24,86
"22098",97.5,161.5,4918,5604,11,80,36,35,2,106,5550,18,90
"22099",98.5,161.5,5018,5658,8,45,51,39,2,72,5551,15,90
"22100",99.5,161.5,4687,5767,7,56,24,36,3,65,5355,18,92
"22101",100.5,161.5,4904,5887,15,59,31,25,4,47,5442,18,94
"22102",101.5,161.5,4951,5811,8,81,33,26,6,54,5514,24,93
"22103",102.5,161.5,4902,5762,13,74,29,32,3,54,5413,15,92
"22104",103.5,161.5,4976,6041,11,61,35,29,6,52,5576,26,96
"22105",104.5,161.5,5082,5857,5,64,35,21,2,75,5486,23,93
"22106",105.5,161.5,5015,5724,12,56,32,24,2,55,5414,16,91
"22107",106.5,161.5,5185,5876,18,61,41,31,1,48,5461,9,93
"22108",107.5,161.5,4953,5844,9,73,20,27,3,52,5404,20,93
"22109",108.5,161.5,4890,5780,8,66,35,23,3,57,5547,11,92
"22110",109.5,161.5,5012,5890,11,70,34,41,5,50,5355,23,94
"22111",110.5,161.5,5115,5817,15,73,31,33,2,87,5486,21,93
"22112",111.5,161.5,5059,5789,17,67,41,38,8,49,5434,17,92
"22113",112.5,161.5,4942,5732,9,74,34,32,3,50,5464,16,91
"22114",113.5,161.5,5061,5951,11,69,38,25,4,58,5497,19,94
"22115",114.5,161.5,4908,5686,11,68,29,30,3,88,5556,16,91
"22116",115.5,161.5,4711,5085,11,72,41,28,4,132,5819,15,82
"22117",116.5,161.5,4769,5538,13,92,37,41,4,94,5643,18,89
"22118",117.5,161.5,4911,5410,9,67,28,35,1,92,5770,17,87
"22119",118.5,161.5,4850,5582,17,72,35,22,4,85,5619,18,89
"22240",239.5,161.5,4808,5594,16,89,37,26,5,89,5604,15,89
"22241",240.5,161.5,4637,5469,12,124,32,43,2,91,5657,19,88
"22259",8.5,160.5,4945,5831,12,97,42,29,3,83,5420,20,93
"22260",9.5,160.5,4817,5950,10,73,40,31,2,51,5507,16,94
"22261",10.5,160.5,4658,5128,9,118,64,52,1,104,5914,31,83
"22263",12.5,160.5,5041,5775,11,76,32,40,3,66,5421,13,92
"22264",13.5,160.5,4955,5449,15,67,38,16,6,76,5584,11,87
"22265",14.5,160.5,4638,5641,12,168,56,47,6,84,5623,38,90
"22266",15.5,160.5,5032,5785,17,67,51,35,1,76,5586,22,92
"22267",16.5,160.5,4916,5670,15,77,37,35,4,63,5509,16,91
"22270",19.5,160.5,5005,5454,18,71,38,41,4,56,5224,26,87
"22272",21.5,160.5,5141,5654,3,81,27,36,0,79,5444,14,90
"22273",22.5,160.5,4935,5286,12,87,52,31,4,104,5741,30,85
"22345",94.5,160.5,4793,5329,19,106,41,42,1,91,5554,18,86
"22346",95.5,160.5,4900,5457,20,82,41,35,3,87,5639,17,88
"22347",96.5,160.5,4855,5384,14,77,46,40,3,93,5676,16,86
"22348",97.5,160.5,4946,5663,13,69,43,29,3,81,5578,17,90
"22349",98.5,160.5,4873,5737,6,65,32,30,0,46,5418,17,91
"22350",99.5,160.5,5135,5696,12,65,37,41,4,56,5554,33,91
"22351",100.5,160.5,5045,5722,12,67,37,29,3,56,5496,16,91
"22352",101.5,160.5,4937,5924,5,77,28,28,3,52,5439,24,94
"22353",102.5,160.5,5182,5877,6,84,33,32,1,57,5474,19,93
"22354",103.5,160.5,5015,5896,19,69,37,40,2,64,5440,16,94
"22355",104.5,160.5,5002,5739,8,56,33,40,4,52,5391,13,91
"22356",105.5,160.5,4924,5909,11,64,38,38,0,65,5554,20,94
"22357",106.5,160.5,5000,5770,20,66,36,32,2,57,5386,20,92
"22358",107.5,160.5,4900,5760,13,75,28,43,1,53,5313,14,92
"22359",108.5,160.5,5090,5828,11,71,37,26,4,53,5439,22,93
"22360",109.5,160.5,5131,5975,14,70,60,31,7,44,5486,19,95
