"","x","y","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"5622",121.5,488.5,2,5326,4010,3,59,12,46,9,434,6490,43,81.8136927224879
"5623",122.5,488.5,2,5223,4049,5,46,22,43,13,438,6406,43,82.6038543373107
"5624",123.5,488.5,2,5015,3962,11,45,13,53,8,432,6044,37,80.8411861196291
"5625",124.5,488.5,2,5086,4077,8,17,22,47,12,445,6502,45,83.1711498556449
"5626",125.5,488.5,2,5090,4036,2,36,22,54,12,477,6476,43,82.3404671323698
"5627",126.5,488.5,2,5258,4080,5,45,19,43,2,466,6450,60,83.2319315183236
"5628",127.5,488.5,2,5149,4119,6,50,14,46,8,451,6431,42,84.0220931331464
"5629",128.5,488.5,2,5083,4051,8,42,19,36,4,470,6188,52,82.6443754457631
"5630",129.5,488.5,2,5272,4012,2,37,14,36,4,494,6302,44,81.8542138309404
"5631",130.5,488.5,2,5387,4078,10,49,19,60,9,468,6239,67,83.1914104098712
"5632",131.5,488.5,2,5380,4041,2,39,26,36,5,453,6390,55,82.4417699035009
"5633",132.5,488.5,2,5214,4030,3,39,16,40,3,433,6447,47,82.2189038070124
"5634",133.5,488.5,2,5375,4117,6,41,25,37,8,510,6425,42,83.9815720246939
"5635",134.5,488.5,2,5124,4142,6,37,20,31,8,465,6444,48,84.4880858803495
"5636",135.5,488.5,2,5195,3880,3,44,16,38,8,481,6374,49,79.1798206730787
"5637",136.5,488.5,2,5280,3966,9,29,23,38,4,503,6567,57,80.922228336534
"5639",138.5,488.5,2,5272,3937,4,47,16,35,10,459,6398,61,80.3346722639735
"5640",139.5,488.5,2,5256,3973,7,45,16,28,8,456,6555,57,81.0640522161176
"5641",140.5,488.5,2,5303,4054,4,42,21,51,5,460,6522,43,82.7051571084418
"5642",141.5,488.5,2,5270,4093,8,42,20,41,8,458,6388,56,83.4953187232645
"5643",142.5,488.5,2,5184,4085,4,42,18,50,9,488,6458,46,83.3332342894547
"5644",143.5,488.5,2,5325,3941,6,44,18,44,11,476,6336,48,80.4157144808784
"5645",144.5,488.5,2,5056,3934,6,52,23,42,6,504,6090,39,80.2738906012949
"5646",145.5,488.5,2,5350,4042,2,51,15,40,9,425,6362,44,82.4620304577271
"5647",146.5,488.5,2,5321,4114,6,38,20,53,7,446,6426,46,83.9207903620153
"5648",147.5,488.5,2,5157,3915,4,41,21,23,8,517,6487,46,79.8889400709966
"5668",167.5,488.5,2,5206,3922,5,58,35,55,4,579,6559,59,80.0307639505802
"5669",168.5,488.5,2,5214,3978,7,42,26,54,4,450,6437,50,81.1653549872487
"5670",169.5,488.5,2,5242,4121,4,46,22,43,5,440,6389,37,84.0626142415988
"5671",170.5,488.5,2,5266,3955,5,40,20,50,7,400,6310,39,80.6993622400456
"5672",171.5,488.5,2,5423,4187,3,58,13,46,8,414,6389,46,85.3998108205296
"5673",172.5,488.5,2,5243,4022,8,41,21,44,10,460,6534,54,82.0568193732026
"5686",185.5,488.5,2,5287,4094,4,47,20,40,7,479,6446,42,83.5155792774908
"5687",186.5,488.5,2,5430,4072,1,40,15,43,4,479,6458,38,83.0698470845138
"5688",187.5,488.5,2,5235,3926,4,41,26,50,7,515,6670,40,80.1118061674851
"5689",188.5,488.5,2,5156,3882,7,46,22,43,6,587,6581,34,79.2203417815312
"5690",189.5,488.5,2,5278,4083,3,42,18,43,6,440,6370,46,83.2927131810023
"5691",190.5,488.5,2,5374,4174,6,56,16,48,11,459,6360,48,85.1364236155887
"5747",246.5,488.5,2,5088,3834,5,46,21,59,12,482,6496,45,78.2478351786724
"5748",247.5,488.5,2,5149,3713,5,46,24,35,9,684,6865,46,75.7963081172993
"5891",390.5,488.5,2,5267,4025,5,54,19,41,9,484,6486,42,82.1176010358813
"5892",391.5,488.5,2,5189,4032,8,40,22,42,10,492,6584,60,82.2594249154648
"5893",392.5,488.5,2,5298,4079,8,49,24,30,6,440,6504,45,83.2116709640974
"5894",393.5,488.5,2,5289,4009,4,44,20,53,10,463,6482,66,81.7934321682617
"5896",395.5,488.5,2,5284,3797,6,42,20,44,5,527,6581,36,77.4981946723021
"5897",396.5,488.5,2,5235,4064,3,50,23,45,9,489,6414,59,82.907762650704
"5956",455.5,488.5,2,5370,4056,13,52,24,51,8,502,6524,55,82.7456782168942
"5957",456.5,488.5,2,5163,4036,11,61,30,40,10,425,6358,55,82.3404671323698
"5958",457.5,488.5,2,5221,3981,4,40,13,63,5,414,6468,59,81.2261366499274
"5959",458.5,488.5,2,5301,3960,3,44,15,36,6,469,6523,36,80.8006650111767
"5960",459.5,488.5,2,5208,3986,3,51,16,36,8,509,6578,53,81.3274394210585
"5961",460.5,488.5,2,5184,3995,3,30,20,39,5,437,6538,61,81.5097844090946
"6104",103.5,487.5,2,5329,3973,2,55,19,31,7,472,6343,45,81.0640522161176
